DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Ball Set,Machine,DrawNumber
09-May-2026,3,11,13,14,43,49,5,L4,Lotto 6,3170
06-May-2026,7,31,33,37,39,56,20,L4,Lotto6,3169
02-May-2026,3,4,6,12,29,40,19,L3,Lotto6,3168
29-Apr-2026,4,14,22,32,38,52,27,L3,Lotto5,3167
25-Apr-2026,3,10,14,19,32,53,23,L2,Lotto4,3166
22-Apr-2026,6,12,18,29,49,56,7,L2,Lotto4,3165
18-Apr-2026,1,4,12,15,39,47,48,L1,Lotto4,3164
15-Apr-2026,22,45,49,53,54,56,25,L1,Lotto4,3163
11-Apr-2026,7,10,14,15,17,35,31,L6,Lotto5,3162
08-Apr-2026,27,29,34,36,43,59,37,L6,Lotto5,3161
04-Apr-2026,15,16,23,32,42,46,52,L5,Lotto5,3160
01-Apr-2026,7,16,23,27,35,40,48,L5,Lotto5,3159
28-Mar-2026,9,24,35,40,47,52,18,L6,Lotto4,3158
25-Mar-2026,19,22,31,32,34,40,43,L6,Lotto4,3157
21-Mar-2026,5,10,18,28,34,53,46,L5,Lotto4,3156
18-Mar-2026,14,16,18,22,47,56,54,L5,Lotto4,3155
14-Mar-2026,10,30,36,44,45,58,59,L9,Lotto5,3154
11-Mar-2026,2,3,18,25,40,54,14,L9,Lotto5,3153
07-Mar-2026,9,37,39,40,47,51,19,L6,Lotto5,3152
04-Mar-2026,20,33,43,46,50,56,45,L6,Lotto5,3151
28-Feb-2026,12,15,22,28,31,32,23,L5,Lotto4,3150
25-Feb-2026,31,34,36,41,54,57,27,L5,Lotto4,3149
21-Feb-2026,2,14,24,33,37,40,19,L10,Lotto4,3148
18-Feb-2026,1,11,12,13,18,49,33,L10,Lotto4,3147
14-Feb-2026,10,13,27,50,54,56,14,L9,Lotto2,3146
11-Feb-2026,5,11,28,30,47,53,52,L9,Lotto2,3145
07-Feb-2026,7,25,27,46,52,59,40,L6,Lotto2,3144
04-Feb-2026,1,2,19,29,51,57,5,L6,Lotto2,3143
31-Jan-2026,7,8,17,25,37,40,11,L5,Lotto2,3142
28-Jan-2026,33,45,50,52,58,59,15,L5,Lotto2,3141
24-Jan-2026,1,4,8,23,34,57,29,L10,Lotto2,3140
21-Jan-2026,5,24,28,46,49,56,19,L10,Lotto2,3139
17-Jan-2026,12,26,30,32,39,58,4,L9,Lotto2,3138
14-Jan-2026,2,5,22,35,44,54,23,L9,Lotto2,3137
10-Jan-2026,5,6,13,18,22,53,9,L1,Arthur,3136
07-Jan-2026,3,9,20,33,45,50,12,L1,Arthur,3135
03-Jan-2026,6,20,34,38,47,48,4,L5,Lotto2,3134
31-Dec-2025,3,20,27,29,38,46,14,L5,Lotto2,3133
27-Dec-2025,20,36,40,43,51,55,21,L10,Lotto2,3132
24-Dec-2025,12,15,16,35,38,48,49,L10,Lotto2,3131
20-Dec-2025,2,25,27,34,45,52,47,L9,Lotto2,3130
17-Dec-2025,15,20,43,50,51,58,36,L9,Lotto2,3129
13-Dec-2025,18,22,24,41,53,56,59,L6,Lotto2,3128
10-Dec-2025,4,9,26,35,42,46,38,L6,Lotto2,3127
06-Dec-2025,5,7,10,17,32,42,40,L5,Lotto2,3126
03-Dec-2025,6,13,19,48,57,58,1,L5,Lotto2,3125
29-Nov-2025,2,6,9,16,38,48,46,L10,Lotto2,3124
26-Nov-2025,10,21,49,54,55,56,40,L10,Lotto2,3123
22-Nov-2025,9,11,14,43,49,59,35,L9,Lotto2,3122
19-Nov-2025,15,18,36,50,51,57,10,L9,Lotto2,3121
15-Nov-2025,9,11,27,44,48,52,25,L6,Lotto2,3120
